"filename", "language", "Vue", "JavaScript", "Markdown", "JSON", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\README.md", "Markdown", 0, 0, 24, 0, 0, 0, 0, 8, 32
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\log.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\package-lock.json", "JSON", 0, 0, 0, 24477, 0, 0, 0, 1, 24478
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\package.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\public\index.html", "HTML", 0, 0, 0, 0, 0, 16, 1, 1, 18
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\App.vue", "Vue", 50, 0, 0, 0, 0, 0, 66, 7, 123
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\assets\css\base.css", "CSS", 0, 0, 0, 0, 48, 0, 1, 10, 59
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\assets\css\normalize.css", "CSS", 0, 0, 0, 0, 158, 0, 129, 74, 361
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\assets\css\post_edit.css", "CSS", 0, 0, 0, 0, 22, 0, 0, 0, 22
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\components\HelloWorld.vue", "Vue", 57, 0, 0, 0, 0, 0, 0, 3, 60
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\main.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\network\address.js", "JavaScript", 0, 62, 0, 0, 0, 0, 3, 1, 66
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\network\agency.js", "JavaScript", 0, 208, 0, 0, 0, 0, 5, 3, 216
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\network\bankcard.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 1, 99
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\network\common.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\network\finance.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 6, 52
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\network\option.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 1, 42
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\network\payment.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\network\permission.js", "JavaScript", 0, 27, 0, 0, 0, 0, 1, 3, 31
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\network\post.js", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 10, 112
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\network\request.js", "JavaScript", 0, 41, 0, 0, 0, 0, 1, 4, 46
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\network\tag.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 7, 41
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\network\transship.js", "JavaScript", 0, 240, 0, 0, 0, 0, 23, 5, 268
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\network\user.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 14, 134
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\router\index.js", "JavaScript", 0, 53, 0, 0, 0, 0, 35, 17, 105
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\store\index.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 3, 54
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\utils\compress.js", "JavaScript", 0, 42, 0, 0, 0, 0, 11, 3, 56
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\utils\image.js", "JavaScript", 0, 59, 0, 0, 0, 0, 14, 3, 76
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\utils\time.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\utils\validate.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\agency\account.vue", "Vue", 552, 0, 0, 0, 0, 0, 0, 13, 565
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\agency\discount.vue", "Vue", 567, 0, 0, 0, 0, 0, 0, 13, 580
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\agency\giftcard.vue", "Vue", 521, 0, 0, 0, 0, 0, 1, 12, 534
"c:\Users\16473\Desktop\SmartPurchase\spbackstage\src\views\agency\order.vue", "Vue", 836, 0, 0, 0, 0, 0, 0, 13, 849
